entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$,symbol,equity_$,drawdown_%
2026-03-20 16:00:00,2026-03-22 23:00:00,S,1.83223,1.82531,1.83569,1.82531,2.0,tp,10.01,0.43,9.58,158.9,GBPCAD,1158.9,0.0
2026-03-23 17:20:00,2026-03-24 02:20:00,S,4441.14,4406.08,4515.4217,4292.57661,0.472,time,70.12,0.34,69.78,228.68,XAUUSD,1228.68,0.0
2026-03-23 18:50:00,2026-03-24 02:50:00,L,1.83989,1.84167,1.83475,1.85017,0.346,time,2.58,0.43,2.15,230.83,GBPCAD,1230.83,0.0
2026-03-24 15:10:00,2026-03-24 16:25:00,S,1.33706,1.34054,1.34054,1.33011,-1.0,sl,-6.95,0.32,-7.27,223.56,GBPUSD,1223.56,-0.59
2026-03-24 16:05:00,2026-03-24 18:45:00,L,0.5753,0.57407,0.57407,0.57777,-1.0,sl,-3.15,0.46,-3.61,219.95,CADCHF,1219.95,-0.88
2026-03-24 16:10:00,2026-03-24 17:25:00,L,1.59157,1.59445,1.59013,1.59445,2.0,tp,4.17,0.41,3.76,223.71,EURCAD,1223.71,-0.58
2026-03-24 16:10:00,2026-03-24 16:50:00,L,1.83919,1.84319,1.83719,1.84319,2.0,tp,5.79,0.43,5.36,229.07,GBPCAD,1229.07,-0.14
2026-03-24 16:55:00,2026-03-25 00:55:00,L,1.8424,1.84634,1.83779,1.85161,0.855,time,5.7,0.43,5.27,234.34,GBPCAD,1234.34,0.0
2026-03-24 17:20:00,2026-03-24 22:25:00,S,1.33936,1.3426,1.3426,1.33289,-1.0,sl,-6.47,0.32,-6.79,227.55,GBPUSD,1227.55,-0.55
2026-03-24 17:40:00,2026-03-24 19:05:00,L,1.59378,1.5926,1.5926,1.59614,-1.0,sl,-1.71,0.41,-2.12,225.43,EURCAD,1225.43,-0.72
2026-03-25 15:05:00,2026-03-25 23:05:00,S,1.33974,1.33622,1.34277,1.33368,1.161,time,7.04,0.32,6.72,232.15,GBPUSD,1232.15,-0.18
2026-03-25 15:10:00,2026-03-25 23:10:00,L,0.57289,0.57342,0.57152,0.57563,0.387,time,1.35,0.46,0.89,233.04,CADCHF,1233.04,-0.11
2026-03-25 16:50:00,2026-03-26 00:50:00,L,1.8463,1.84523,1.84131,1.85627,-0.215,time,-1.55,0.43,-1.98,231.06,GBPCAD,1231.06,-0.27
2026-03-26 15:05:00,2026-03-26 23:05:00,L,0.57325,0.57303,0.57265,0.57446,-0.364,time,-0.56,0.46,-1.02,230.04,CADCHF,1230.04,-0.35
2026-03-26 15:10:00,2026-03-26 16:30:00,L,1.84485,1.84899,1.84278,1.84899,2.0,tp,6.0,0.43,5.57,235.61,GBPCAD,1235.61,0.0
2026-03-26 16:15:00,2026-03-26 16:30:00,L,1.59582,1.59751,1.59497,1.59751,2.0,tp,2.45,0.41,2.04,237.65,EURCAD,1237.65,0.0
2026-03-26 16:40:00,2026-03-27 00:40:00,L,1.59773,1.59805,1.59498,1.60324,0.116,time,0.46,0.41,0.05,237.7,EURCAD,1237.7,0.0
2026-03-26 16:45:00,2026-03-26 22:10:00,S,1.15427,1.15552,1.15552,1.15176,-1.0,sl,-2.51,0.26,-2.77,234.93,EURUSD,1234.93,-0.22
2026-03-26 16:55:00,2026-03-27 00:55:00,S,1.33539,1.33372,1.33787,1.33043,0.673,time,3.34,0.32,3.02,237.95,GBPUSD,1237.95,0.0
2026-03-26 16:55:00,2026-03-26 18:25:00,S,4449.84,4387.95079,4480.78461,4387.95079,2.0,tp,123.78,0.34,123.44,361.39,XAUUSD,1361.39,0.0
2026-03-26 17:00:00,2026-03-26 19:55:00,L,1.8484,1.84536,1.84536,1.85448,-1.0,sl,-4.4,0.43,-4.83,356.56,GBPCAD,1356.56,-0.35
